p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
False,frame_lock,False,0,,12,0,False,13779483,"{""percentage"": 0}",ok,93393,0,7551003834,2019-03-28 10:49:00,13.730235555556,,True,True,True,1,end,dresden,0,BIKE 93393,0,51.040262222222,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13779612,,ok,93393,0,7551003834,2019-03-28 16:44:00,13.729492222222,Bayrische Straße,True,True,True,1,start,dresden,0,BIKE 93393,0,51.040288888889,,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4480,False,10299517,,ok,93393,0,7551003834,2019-03-28 17:08:00,13.740307688713,,True,True,False,1,end,dresden,0,Reichenbachstraße / Gutzkowstraße (Wohnheim),0,51.033547810554,,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4480,False,10299517,,ok,93393,0,7551003834,2019-03-28 23:59:00,13.740307688713,,True,True,False,2,last,dresden,0,Reichenbachstraße / Gutzkowstraße (Wohnheim),0,51.033547810554,,"{""undefined"": 2}"
True,frame_lock,False,0,,0,4408,False,217380,,ok,93751,0,7551006554,2019-03-28 00:00:00,13.741911649704,,True,True,False,5,first,dresden,0,Frauenkirche Dresden,15,51.052361351404,0,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4408,False,217380,,ok,93751,0,7551006554,2019-03-28 06:15:00,13.741911649704,,True,True,False,5,start,dresden,0,Frauenkirche Dresden,15,51.052361351404,0,"{""undefined"": 3, ""15"": 2}"
True,frame_lock,False,0,,0,4408,False,217380,,ok,93751,0,7551006554,2019-03-28 08:30:00,13.741911649704,,True,True,False,5,end,dresden,0,Frauenkirche Dresden,15,51.052361351404,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,,0,4408,False,217380,,ok,93751,0,7551006554,2019-03-28 08:49:00,13.741911649704,,True,True,False,5,start,dresden,0,Frauenkirche Dresden,15,51.052361351404,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,,0,4408,False,217380,"{""percentage"": 0}",ok,93751,0,7551006554,2019-03-28 10:34:00,13.741911649704,,True,True,False,5,end,dresden,0,Frauenkirche Dresden,15,51.052361351404,0,"{""undefined"": 1, ""15"": 4}"
True,frame_lock,False,0,,0,4408,False,217380,"{""percentage"": 0}",ok,93751,0,7551006554,2019-03-28 10:41:00,13.741911649704,,True,True,False,5,start,dresden,0,Frauenkirche Dresden,15,51.052361351404,0,"{""undefined"": 1, ""15"": 4}"
